pais_id,Nombre,independencia,continente_id,Forma de gobierno,poblacion
1,Argentina,09-07-1816,1,Republica,42890368
41,Portugal,01-12-1640,3,Republica,10562178
42,España,17-04-1814,3,Monarquia,46815916
43,Francia,14-07-1789,3,Republica,67158000
44,Gran Bretaña,24-06-1000,3,Monarquia,58000000
45,Alemania,18-01-1871,3,Republica,82667685
46,Bélgica,04-10-1830,3,Monarquia,11409077
47,Austria,26-10-1955,3,Republica,8572895
48,Italia,02-06-1946,3,Republica,60665551
49,Dinamarca,05-06-1849,3,Monarquia,5627235
50,Suiza,01-08-1291,3,Republica,8500000
